Euromillions
Past Draws Results Year 2013
Date              	1  	2  	3  	4  	5  	Star1 	Star2 	
31 December 2013  	13 	20 	24 	29 	45 	03    	07    	
27 December 2013  	01 	06 	13 	22 	28 	05    	10    	
24 December 2013  	05 	19 	31 	43 	50 	02    	06    	
20 December 2013  	12 	13 	17 	22 	43 	03    	10    	
17 December 2013  	06 	08 	27 	37 	41 	07    	10    	
13 December 2013  	01 	22 	23 	24 	31 	06    	11    	
10 December 2013  	06 	24 	35 	49 	50 	01    	07    	
06 December 2013  	01 	02 	18 	31 	36 	07    	10    	
03 December 2013  	06 	13 	15 	29 	32 	02    	09    	
29 November 2013  	02 	07 	10 	23 	43 	04    	07    	
26 November 2013  	19 	23 	27 	42 	44 	03    	05    	
22 November 2013  	13 	25 	26 	40 	50 	08    	09    	
19 November 2013  	14 	15 	19 	36 	45 	01    	10    	
15 November 2013  	03 	13 	15 	29 	42 	01    	04    	
12 November 2013  	14 	29 	37 	40 	48 	02    	11    	
08 November 2013  	20 	28 	35 	42 	43 	08    	10    	
05 November 2013  	06 	12 	13 	35 	38 	02    	03    	
01 November 2013  	07 	19 	29 	30 	33 	03    	08    	
29 October 2013   	09 	10 	30 	32 	37 	02    	06    	
25 October 2013   	02 	03 	10 	31 	38 	06    	10    	
22 October 2013   	29 	33 	39 	41 	44 	09    	11    	
18 October 2013   	05 	25 	36 	46 	47 	02    	06    	
15 October 2013   	18 	27 	39 	43 	47 	04    	07    	
11 October 2013   	06 	12 	17 	23 	43 	05    	09    	
08 October 2013   	23 	24 	26 	33 	42 	03    	05    	
04 October 2013   	06 	20 	24 	35 	50 	05    	10    	
01 October 2013   	19 	23 	25 	44 	48 	08    	09    	
27 September 2013 	11 	15 	38 	41 	43 	02    	06    	
24 September 2013 	10 	20 	26 	28 	43 	09    	11    	
20 September 2013 	05 	11 	35 	38 	45 	02    	03    	
17 September 2013 	13 	17 	21 	42 	44 	09    	11    	
13 September 2013 	04 	06 	14 	27 	33 	05    	10    	
10 September 2013 	07 	11 	14 	28 	30 	02    	10    	
06 September 2013 	11 	23 	25 	32 	37 	04    	07    	
03 September 2013 	05 	09 	16 	18 	42 	07    	09    	
30 August 2013    	02 	17 	25 	36 	45 	05    	09    	
27 August 2013    	07 	30 	38 	40 	43 	02    	06    	
23 August 2013    	01 	06 	26 	30 	37 	05    	08    	
20 August 2013    	05 	11 	42 	49 	50 	08    	11    	
16 August 2013    	20 	24 	27 	37 	39 	05    	10    	
13 August 2013    	05 	17 	20 	47 	50 	01    	04    	
09 August 2013    	04 	07 	09 	23 	24 	08    	09    	
06 August 2013    	16 	17 	31 	47 	49 	03    	11    	
02 August 2013    	21 	36 	37 	42 	48 	04    	07    	
30 July 2013      	03 	04 	11 	14 	43 	01    	06    	
26 July 2013      	12 	23 	29 	38 	49 	03    	04    	
23 July 2013      	14 	15 	16 	19 	44 	04    	05    	
19 July 2013      	13 	16 	24 	26 	35 	02    	05    	
16 July 2013      	19 	23 	34 	47 	50 	04    	06    	
12 July 2013      	18 	26 	32 	33 	42 	02    	03    	
09 July 2013      	16 	18 	31 	38 	49 	04    	10    	
05 July 2013      	04 	12 	15 	28 	33 	01    	10    	
02 July 2013      	11 	13 	14 	28 	30 	04    	05    	
28 June 2013      	01 	15 	28 	35 	47 	01    	07    	
25 June 2013      	04 	05 	13 	27 	35 	01    	02    	
21 June 2013      	10 	11 	30 	36 	45 	01    	02    	
18 June 2013      	17 	24 	33 	41 	44 	01    	11    	
14 June 2013      	10 	25 	41 	47 	48 	06    	10    	
11 June 2013      	05 	07 	09 	25 	41 	01    	05    	
07 June 2013      	07 	14 	26 	45 	50 	02    	07    	
04 June 2013      	31 	33 	34 	37 	40 	01    	06    	
31 May 2013       	27 	28 	29 	34 	43 	05    	10    	
28 May 2013       	08 	13 	26 	34 	38 	03    	11    	
24 May 2013       	07 	17 	22 	27 	40 	02    	03    	
21 May 2013       	07 	08 	19 	28 	29 	05    	09    	
17 May 2013       	06 	20 	24 	25 	50 	09    	10    	
14 May 2013       	07 	08 	24 	27 	36 	05    	11    	
10 May 2013       	01 	32 	35 	45 	48 	04    	11    	
07 May 2013       	13 	27 	28 	42 	43 	04    	06    	
03 May 2013       	03 	05 	34 	40 	49 	02    	03    	
30 April 2013     	13 	36 	40 	43 	50 	05    	09    	
26 April 2013     	11 	16 	24 	38 	40 	02    	05    	
23 April 2013     	01 	04 	07 	10 	50 	04    	11    	
19 April 2013     	01 	08 	42 	46 	48 	04    	07    	
16 April 2013     	01 	11 	22 	33 	50 	04    	06    	
12 April 2013     	05 	10 	15 	28 	45 	03    	09    	
09 April 2013     	15 	35 	38 	44 	48 	05    	10    	
05 April 2013     	01 	11 	17 	32 	39 	02    	07    	
02 April 2013     	12 	17 	25 	29 	41 	01    	04    	
29 March 2013     	13 	30 	43 	44 	46 	05    	09    	
26 March 2013     	04 	26 	30 	42 	44 	06    	11    	
22 March 2013     	12 	27 	32 	34 	49 	08    	09    	
19 March 2013     	19 	32 	35 	37 	44 	01    	09    	
15 March 2013     	04 	14 	21 	24 	39 	03    	10    	
12 March 2013     	02 	04 	10 	22 	50 	05    	08    	
08 March 2013     	03 	20 	23 	28 	42 	08    	11    	
05 March 2013     	08 	19 	31 	33 	39 	02    	07    	
01 March 2013     	01 	11 	29 	36 	42 	04    	05    	
26 February 2013  	03 	12 	13 	17 	30 	02    	06    	
22 February 2013  	15 	16 	28 	36 	37 	02    	11    	
19 February 2013  	12 	15 	28 	30 	44 	08    	09    	
15 February 2013  	02 	04 	22 	28 	42 	04    	09    	
12 February 2013  	05 	11 	16 	25 	28 	07    	09    	
08 February 2013  	09 	11 	14 	34 	44 	10    	11    	
05 February 2013  	06 	25 	31 	40 	45 	06    	07    	
01 February 2013  	05 	21 	34 	37 	38 	01    	06    	
29 January 2013   	09 	16 	26 	36 	39 	02    	06    	
25 January 2013   	03 	10 	18 	31 	37 	02    	04    	
22 January 2013   	01 	10 	44 	45 	48 	01    	04    	
18 January 2013   	04 	26 	27 	30 	39 	03    	10    	
15 January 2013   	22 	38 	40 	42 	47 	01    	11    	
11 January 2013   	04 	22 	29 	37 	41 	04    	07    	
08 January 2013   	02 	20 	22 	26 	47 	05    	09    	
04 January 2013   	04 	10 	22 	27 	41 	08    	10    	
01 January 2013   	02 	07 	08 	36 	49 	01    	11    	
