Euromillions
Past Draws Results Year 2011
Date              	1  	2  	3  	4  	5  	Star1 	Star2 	
30 December 2011  	16 	36 	43 	44 	50 	07    	08    	
27 December 2011  	19 	21 	25 	26 	44 	03    	07    	
23 December 2011  	07 	21 	22 	24 	28 	01    	11    	
20 December 2011  	01 	09 	12 	14 	48 	01    	07    	
16 December 2011  	02 	05 	10 	23 	31 	02    	05    	
13 December 2011  	07 	12 	18 	33 	37 	01    	11    	
09 December 2011  	12 	21 	29 	44 	47 	01    	02    	
06 December 2011  	19 	20 	21 	34 	38 	03    	09    	
02 December 2011  	07 	27 	30 	40 	43 	08    	09    	
29 November 2011  	11 	25 	41 	45 	50 	02    	07    	
25 November 2011  	14 	19 	26 	28 	34 	05    	08    	
22 November 2011  	16 	18 	24 	38 	40 	02    	04    	
18 November 2011  	04 	12 	24 	39 	44 	02    	04    	
15 November 2011  	06 	17 	22 	45 	47 	03    	11    	
11 November 2011  	01 	04 	18 	23 	30 	03    	07    	
08 November 2011  	01 	04 	15 	29 	40 	01    	05    	
04 November 2011  	11 	14 	41 	43 	50 	02    	09    	
01 November 2011  	14 	20 	23 	45 	46 	01    	11    	
28 October 2011   	16 	17 	20 	39 	50 	04    	08    	
25 October 2011   	12 	22 	27 	28 	39 	04    	10    	
21 October 2011   	02 	19 	33 	37 	46 	05    	08    	
18 October 2011   	18 	23 	37 	46 	48 	02    	10    	
14 October 2011   	12 	23 	29 	32 	47 	03    	05    	
11 October 2011   	01 	04 	12 	16 	48 	09    	10    	
07 October 2011   	18 	26 	34 	38 	42 	05    	08    	
04 October 2011   	14 	16 	23 	38 	45 	08    	11    	
30 September 2011 	05 	15 	28 	31 	44 	01    	06    	
27 September 2011 	18 	27 	28 	35 	40 	03    	05    	
23 September 2011 	06 	14 	33 	34 	48 	02    	06    	
20 September 2011 	09 	19 	25 	36 	38 	07    	11    	
16 September 2011 	02 	08 	17 	39 	42 	03    	10    	
13 September 2011 	09 	28 	30 	32 	49 	09    	10    	
09 September 2011 	05 	21 	28 	31 	34 	01    	02    	
06 September 2011 	35 	42 	47 	48 	50 	08    	09    	
02 September 2011 	12 	26 	37 	38 	44 	04    	07    	
30 August 2011    	02 	08 	10 	19 	46 	05    	09    	
26 August 2011    	12 	22 	25 	33 	45 	05    	07    	
23 August 2011    	04 	06 	14 	42 	50 	02    	04    	
19 August 2011    	06 	14 	16 	28 	31 	02    	11    	
16 August 2011    	01 	13 	17 	18 	45 	03    	08    	
12 August 2011    	07 	10 	20 	27 	37 	04    	07    	
09 August 2011    	07 	23 	24 	34 	36 	08    	11    	
05 August 2011    	13 	14 	18 	32 	34 	01    	10    	
02 August 2011    	05 	08 	14 	24 	33 	03    	08    	
29 July 2011      	12 	19 	27 	37 	38 	05    	10    	
26 July 2011      	01 	05 	22 	25 	48 	03    	11    	
22 July 2011      	04 	15 	23 	49 	50 	02    	06    	
19 July 2011      	03 	16 	25 	26 	35 	05    	09    	
15 July 2011      	06 	26 	33 	34 	39 	03    	04    	
12 July 2011      	17 	19 	38 	42 	45 	09    	10    	
08 July 2011      	12 	13 	23 	40 	49 	07    	10    	
05 July 2011      	11 	28 	29 	47 	49 	01    	05    	
01 July 2011      	08 	11 	23 	31 	46 	08    	09    	
28 June 2011      	15 	16 	30 	44 	50 	02    	03    	
24 June 2011      	05 	16 	20 	30 	41 	06    	11    	
21 June 2011      	17 	20 	35 	49 	50 	03    	04    	
17 June 2011      	11 	16 	21 	22 	44 	03    	08    	
14 June 2011      	05 	12 	19 	41 	48 	08    	10    	
10 June 2011      	03 	19 	20 	37 	48 	08    	11    	
07 June 2011      	06 	25 	36 	38 	40 	04    	10    	
03 June 2011      	04 	39 	40 	49 	50 	02    	05    	
31 May 2011       	01 	09 	10 	22 	50 	05    	11    	
27 May 2011       	09 	17 	25 	28 	49 	08    	09    	
24 May 2011       	16 	23 	24 	26 	29 	02    	09    	
20 May 2011       	10 	14 	20 	25 	42 	08    	11    	
17 May 2011       	20 	21 	37 	45 	46 	02    	03    	
13 May 2011       	09 	11 	17 	36 	47 	01    	02    	
10 May 2011       	03 	10 	15 	28 	45 	05    	07    	
06 May 2011       	11 	16 	20 	22 	28 	04    	09    	
29 April 2011     	15 	25 	38 	40 	41 	01    	02    	
22 April 2011     	11 	22 	36 	45 	48 	01    	04    	
15 April 2011     	04 	06 	21 	39 	41 	02    	06    	
08 April 2011     	21 	23 	38 	47 	50 	02    	06    	
01 April 2011     	04 	17 	21 	22 	33 	04    	08    	
25 March 2011     	06 	12 	21 	27 	33 	03    	07    	
18 March 2011     	01 	13 	20 	26 	50 	06    	07    	
11 March 2011     	17 	19 	24 	37 	46 	02    	07    	
04 March 2011     	11 	25 	27 	28 	41 	05    	08    	
25 February 2011  	12 	13 	42 	45 	48 	03    	09    	
18 February 2011  	02 	03 	15 	45 	49 	05    	09    	
11 February 2011  	12 	14 	15 	19 	23 	07    	08    	
04 February 2011  	02 	11 	24 	35 	47 	05    	09    	
28 January 2011   	13 	23 	24 	41 	42 	01    	05    	
21 January 2011   	03 	11 	13 	18 	21 	04    	05    	
14 January 2011   	02 	14 	24 	39 	44 	06    	07    	
07 January 2011   	01 	22 	32 	48 	50 	06    	07    	
